name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Thüringer Universitäts- und Landesbibliothek;Bibliotheksplatz 2;07743;Jena;-3641;94 00 00;http://www.thulb.uni-jena.de;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.591.842;5.093.006
Forschungsbibliothek Gotha der Universität Erfurt;Schlossplatz 1;99867;Gotha;361;737-5530 (Sekretariat), 737-5540 (Information);https://www.uni-erfurt.de/bibliothek/fb/;https://opac.uni-erfurt.de/;Mo-Fr 9.00-20.00, Sa 9.00 - 13.00;bis 1.000;Land;kein Mitglied;hauptamtlich;1.070.337;50.948.759
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden(SLUB) ;Zellescher Weg 18;01069;Dresden;0351;4677-265;http://www.slub-dresden.de;http://www.slub-dresden.de;Mo - Sa 8.00 - 24.00 Uhr / So 10.00 - 18.00 Uhr;1.000.001 und mehr;;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.736.883;51.051.697
Staatliche Bibliothek Regensburg;Gesandtenstr. 13;93047;Regensburg;-941;630806-0;http://www.staatliche-bibliothek-regensburg.de/;;Mo - Fr.: 9.00 - 18.00 Uhr, Sa 14.00 - 18.00 Uhr;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;12.097.392;49.017.834
Universitätsbibliothek Mannheim;Schloss Schneckenhof West;68131;Mannheim;621;181-2941;http://www.bib.uni-mannheim.de;;Bibliotheksbereiche Mo-Fr 8-24 Uhr, Sa-So 10-24 Uhr, Ausleihe Mo-Fr 9-18 Uhr, Sa 9- 13 Uhr ;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.466.275;4.948.778
Universitätsbibliothek Kaiserslautern;Paul-Ehrlich-Str., Gebäude 32;67663;Kaiserslautern;-631;205 -2367, -2190 oder -2241;http://www.ub.uni-kl.de/;https://opac.ub.uni-kl.de/;Mo-Fr 8:00 -23:00, Sa 9:00-23:00 ;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.768.864;49.445.456
Hochschule Neubrandenburg. Hochschulbibliothek;Brodaer Str. 2;17033;Neubrandenburg;-395;5 69 31500;http://www.hs-nb.de/bibliothek/;;Ausleihe Mo-Fr 9-16 Lesesaal 9-19;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.325.996;53.557.345
Hochschulbibliothek Karlsruhe;Bismarckstr. 10;76133;Karlsruhe;-721;9 25-5500;http://www.ph-karlsruhe.de/hsb;http://www.ph-karlsruhe.de/institute/ph/bibliothek/online-katalog/;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.405.282;49.009.626
Technische Universität Hamburg. Universitätsbibliothek;Denickestr. 22;21073;Hamburg;40;4 28 78-2845 (Ausk.);http://www.tub.tuhh.de;;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;999.697;53.550.678
Niedersächsische Staats- und Universitätsbibliothek;Platz der Göttinger Sieben 1;37073;Göttingen;-551;39-5231/5212;http://www.sub.uni-goettingen.de;;Mo - Fr 7 - 1 Uhr. Sa - So 9 - 22 Uhr;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;993.514;51.533.027
