name;strasse;plz;ort;vorwahl;tel;url;opac;öffnungszeiten;bestandsgrößenklasse;unterhaltsträger;dbv;leitung;laenge;breite
Hochschule für Musik und Darstellende Kunst. Bibliothek;Eschersheimer Landstr. 29/39;60322;Frankfurt/Main;-69;15 40 07-293;http://www.hfmdk-frankfurt.de;https://lbsopac.rz.uni-frankfurt.de/DB=77/ADVANCED_SEARCHFILTER;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.682.433;5.011.088
Hochschule für Musik und Theater. Bibliothek;Harvestehuder Weg 12;20148;Hamburg;-40;(040)42 848- 2596;http://www.hfmt-hamburg.de/hochschule/bibliothek/;https://kataloge.uni-hamburg.de/DB=6/LNG=DU/;50 Stunden pro Woche;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;999.697;53.550.678
Hochschule für Musik und Theater München. Bibliothek;Arcisstr. 12;80333;München;-89;289 - 27460;http://bibliothek.musikhochschule-muenchen.de/;https://webopac.bibliothek.musikhochschule-muenchen.de/;http://bibliothek.musikhochschule-muenchen.de/index.php?option=com_content&task=view&id=585&Itemid=345;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Technische Hochschule Köln. Hochschulbibliothek;Betzdorfer Str. 2;50679;Köln;-221;82 75-2713;https://www.bibl.th-koeln.de;https://www.th-koeln.de/hochschulbibliothek/;;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Hochschulbibliothek der HTWG Konstanz;Brauneggerstr. 55;78462;Konstanz;-7531;2 06-580;http://www.bibliothek.htwg-konstanz.de;http://www.bibliothek.htwg-konstanz.de;Mo - Do  9.00 - 22.00 Uhr. Fr - 19.00 Uhr. Sa + So  10.00 - 19.00 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.175.957;47.662.757
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen    Hochschulbibliothek;Neidenburger Str. 43;45897;Gelsenkirchen;-209;95 96-216;http://www.w-hs.de/bibliothek/;;08:00 - 19:00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.096.064;51.510.892
Ostfalia Hochschule für angewandte Wissenschaften. Hochschule Braunschweig-Wolfenbüttel. Bibliothek;Am Exer 8;38302;Wolfenbüttel;-5331;9 39-18000;http://www.ostfalia.de/cms/de/bib/;http://sunny.biblio.etc.tu-bs.de/DB=5/LNG=DU/;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.536.202;52.163.491
Zentrum für Kunst und Medien Karlsruhe / Staatliche Hochschule für Gestaltung. Bibliothek;Lorenzstr. 19;76135;Karlsruhe;-721;81 00-1717;http://www.zkm.de;https://bsz.ibs-bw.de/zkmk;Di - Fr: 10 - 19 Uhr, Sa - Mo: 13 - 18 Uhr;30.001 bis 100.000;Sonstige öffentliche Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.405.282;49.009.626
Kunsthochschule für Medien Köln - Bibliothek / Mediathek;Rheingasse 8;50676;Köln;-221;2 01 89-160;http://www.khm.de/bibliothek;http://bibliothek.khm.de;Semester: Mo-Do 10.00-18.00. Fr 10.00-15.00 / Ferien 13.00-16.30. Fr 13.00-15.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Kunstakademie Münster. Hochschule für Bildende Künste. Bibliothek;Leonardo-Campus 10;48149;Münster;-251;83-61-340;http://www.kunstakademie-muenster.de;;Montag - Freitag  8.30 - 20 Uhr, Samstag 10 - 16 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.626.804;51.961.908
Hochschule für angewandte Wissenschaften Neu-Ulm / University of Applied Sciences. Hochschulbibliothek;Wileystr. 1;89231;Neu-Ulm;-731;97 62-2706;http://www.hs-neu-ulm.de/studium/bibliothek/;;Mo-Do 09.00 h - 19.00 h, Frei 09.00 h - 17.00 h, Sa (2x im Monat) 10.00 h - 14.00 h;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.998.683;48.392.999
Muthesius Kunsthochschule. Zentrale Hochschulbibliothek;Legienstraße 35;24103;Kiel;-431;51 98-407;http://www.muthesius.de;;Mo - Do 10-19, Fr. 10-16;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.013.727;54.321.775
Hochschule für Musik Bibliothek        ;Schwarzwaldstr. 141;79102;Freiburg / Breisgau;761;3 19 15 26;http://www.mh-freiburg.de/bibliothek/willkommen/;;Mo - Fr: 10 00- 17.00, Sa: 13.00 - 15.00, in den Semesterferien verkürzte Öffnungszeiten;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.849.877;47.994.786
Hochschulbibliothek der Hochschule Bochum;Lennershofstr. 140;44801;Bochum;-234;32-10770. -10760. -10751;http://www.hochschule-bochum.de/bib.html;;Im Semester: Mo u. Fr  8.00-18.00. Di-Do 8.00-20.00. Sa 10.00-14.00. So 14.00-18.00. In den Semesterferien: Mo-Di. Do-Fr 8.00-18.00. Mi 8.00-20.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.217.177;51.482.699
Hochschule für Gestaltung. Bibliothek;Schloßstr. 31;63065;Offenbach/Main;-69;80059-0;http://www.hfg-offenbach.de;;Mo-Do 9.00-16.00. Fr 9.00-14.00;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.764.442;50.105.567
Philosophisch-Theol. Hochschule der Salesianer Don Boscos. Theologische Fakultät. Bibliothek;Don-Bosco-Str. 1;83671;Benediktbeuern;-8857;88-212;http://www.pth-bibliothek.de;http://www.pth-bibliothek.de/main.htm;Mo-Fr 8.15-13.00. Mo-Do 14.00-17.00. Fr 14.00-15.30;300.001 bis 1.000.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.411.896;47.707.913
Bibliothek der Kirchlichen Hochschule Bethel;Remterweg 41;33617;Bielefeld;-521;1 44-3964;http://www.bethel.de/kiho;;Mo - Do 8.00 - 12.00 Uhr und 14.00 - 16.30 Uhr, Fr. 8.00 - 12.00 Uhr und 14.00 - 15.00 Uhr;100.001 bis 300.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;853.212;52.020.578
Fachhochschule Bielefeld, Hochschulbibliothek;Interaktion 1;33619;Bielefeld;-521;1 06-3350;http://www.fh-bielefeld.de/bib;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;853.212;52.020.578
Technische Hochschule Georg Agricola, Hochschulbibliothek  ;Herner Str. 45;44787;Bochum;-234;9 68-3250. 3216 und 3385;https://www.thga.de/die-th/zentrale-einrichtungen/medienzentrum/bibliothek/;;;30.001 bis 100.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.217.177;51.482.699
Studienbibliothek Dillingen/Donau;Kardinal-von-Waldburg-Str. 51;89407;Dillingen/Donau;-9071;28 60;http://www.studienbibliothek-dillingen.de;;Mo - Do 10.30 - 16.00, Fr 10.30 - 17.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.495.232;48.580.882
Fachhochschule Esslingen. Hochschule für Sozialwesen. Bibliothek;Flandernstr. 101;73732;Esslingen/Neckar;-711;3 97-4103;http://www.fht-esslingen.de/institute/wwwbi;http://www.fht-esslingen.de/institute/wwwbi/webpac.html;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.309.565;48.741.347
Zentrale Hochschulbibliothek Flensburg;Auf dem Campus 3;24943;Flensburg;-461;805-2901/-2910/-2916;http://www.zhb-flensburg.de;https://lhkie.gbv.de/DB=5/LNG=DU/;Mo - Fr    8:00 - 21:00 Uhr, Sa. 10:00-18:00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;943.751;5.478.252
Bibliothek des Bischöflichen Priesterseminars | Hauptbibliothek der Theologischen Fakultät Fulda;Domdechanei 4;36037;Fulda;-661;87-531 und 530;http://bib.thf-fulda.de;http://opac.uni-giessen.de/IMPLAND=Y/SRT=YOP/LNG=DU/DB=80/;Montag - Donnerstag: 09.00 - 12.30, 14.00 - 17.00 Uhr , Freitag: 09.00 - 12.30, 13.30 - 15.00 Uhr. In den Semesterferien kürzere Öffnungszeiten!;300.001 bis 1.000.000;Kath. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.675.061;5.055.323
Bibliothek der HafenCity Universität Hamburg;Überseeallee 16;20457;Hamburg;-40;428 27 -5675;http://www.hcu-hamburg.de/bibliothek;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;999.697;53.550.678
Helmut-Schmidt-Universität, Universität der Bundeswehr Hamburg  Universitätsbibliothek;Holstenhofweg 85;22043;Hamburg;-40;06541 2626;http://www.hsu-bibliothek.de;;;300.001 bis 1.000.000;Staat (Bund od. Republik);Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;999.697;53.550.678
Zentralbibliothek der Sportwissenschaften (Deutsche Sporthochschule Koeln);Am Sportpark Muengersdorf 6;50933;Köln;-221;4982-3880;http://www.zbsport.de;https://aleph.zbsport.de/F?func=login&local_base=zbs01;Mo. - Fr..: 7.30 - 21.00 Uhr, Sa.: 10.00 - 18.00 Uhr;300.001 bis 1.000.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Hochschule für Musik und Tanz Köln - Bibliothek -;Unter Krahnenbäumen 87;50668;Köln;221;28 380-200;https://www.hfmt-koeln.de/hochschule/bibliothek.html;https://bibliothekskatalog.hfmt-koeln.de/;Mo+Do 9.30-18.00 Uhr, Di+Mi 9:30-16:00, Fr 9.30-14.30 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Hochschulbibliothek Pforzheim  Bereichsbibliothek Wirtschaft und Technik;Tiefenbronner Straße 65;75175;Pforzheim;-7231;286234;https://www.hs-pforzheim.de/hochschule/organisation/bibliothek/;https://bsz.ibs-bw.de/hspf;Vorlesungszeit:Mo - Fr 08.00 - 21.00. | Sa 14.00-19.00 Vorlesungsfreie Zeit:Mo - Fr 08.00 - 18.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.699.166;48.891.285
Deutsche Universität für Verwaltungswissenschaften Speyer. Universitätsbibliothek;Freiherr-vom-Stein-Str. 2;67346;Speyer;-6232;6 54-243;http://www.uni-speyer.de/de/service/bibliothek.php;http://opac.uni-speyer.de/libero/WebOpac.cls;;300.001 bis 1.000.000;Sonstige öffentliche Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.436.572;49.316.172
Staatliche Hochschule für Musik und Darstellende Kunst. Bibliothek;Urbanstr. 25;70182;Stuttgart;-711;2 12-4664;http://www.mh-stuttgart.de/;http://www.mh-stuttgart.de/bibliothek/stopac-eingabemaske.htm;Montag bis Donnerstag 9.30 - 18.00. Freitag 09.30 - 15.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Theol. Hochschule der Pallottiner. Bibliothek;Pallottistr. 3;56179;Vallendar;-261;64 02-272;http://www.bibliothek.pthv.de;;Mo Di Mi Fr: 9.00-11.00 Uhr und Di Do: 13.30 - 17.00 Uhr;100.001 bis 300.000;Kath. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.622.831;50.398.186
Hochschulbibliothek Weingarten;Kirchpl. 2;88250;Weingarten;-751;5 01-8368;;;Montag - Freitag 7:30 - 20:00, Samstag 9:00 - 16:00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.640.669;47.807.399
Universitätsbibliothek Vechta;Driverstr. 26;49377;Vechta;-4441;15-355;;https://opac.ub.uni-osnabrueck.de/DB=3/LNG=DU/;Semester: 8:30 - 20:00, Semesterferien 8:30-18:00;300.001 bis 1.000.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.284.838;52.727.529
Universitätsbibliothek Duisburg-Essen;Universitätsstraße 9 - 11;45141;Essen;201;183-3699;http://www.uni-due.de/ub;;;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.012.583;51.455.843
Hochschul- und Landesbibliothek RheinMain, Kurt-Schumacher-Ring;Kurt-Schumacher-Ring 18;65197;Wiesbaden;-611;94 95-1160;http://www.hs-rm.de/bibliothek;https://hds.hebis.de/hsrm/index.php;Mo-Fr 8.30 - 20.00 UhrSa: 10.00 - 18.00 Uhr ;1.000.001 und mehr;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.239.138;50.081.698
Hochschule Emden/Leer, Hochschulbibliothek;Constantiaplatz 4;26723;Emden;;04921 / 807-1772;http://www.hs-emden-leer.de/einrichtungen/bibliothek.html;http://lhemd.gbv.de/DB=2/LNG=DU/HTML=Y/;siehe: http://www.hs-emden-leer.de/einrichtungen/bibliothek.html;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.205.946;53.370.558
Bibliothek der Dualen Hochschule Baden-Württemberg Stuttgart;Kronenstraße 53b;70174;Stuttgart;711;18 49-835;http://www.dhbw-stuttgart.de/bibliothek;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Beuth Hochschule für Technik Berlin  Hochschulbibliothek  Bibliotheksleitung;Luxemburger Str. 10;13353;Berlin;-30;45 04-2316;http://www.beuth-hochschule.de/bibliothek/;;In der vorlesungsfreien Zeit: 9.00-15.00. Im Semester: 9.00-21.00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Technische Informationsbibliothek;Welfengarten 1 B;30167;Hannover;-511;7 62-33 28;http://www.tib.eu;;;1.000.001 und mehr;Sonstige öffentliche Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.738.084;52.374.551
Hochschule für öffentliche Verwaltung.  Bibliothek;Kinzigallee 1;77694;Kehl;-7851;8 94-127;http://www.hs-kehl.de/hochschule/zentrale-einrichtungen/iz-bibliothek/;;Mo-Do 7.45-17.00 Fr 7.45-17.00 Ferien: verkürzte Öffnungszeiten;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.813.177;48.572.447
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen, Bibliothek;Ernst-Boehe-Str. 4;67059;Ludwigshafen/Rhein;-621;52 03 - 5 10;https://bib.hs-lu.de/;https://opac.hs-lu.de/alipac/-/form/find-multibase;Die Öffnungszeiten an unseren drei Bibliotheksstandorten sind unserer Internetseite https://bib.hs-lu.de/informationen-zur-bibliothek/oeffnungszeiten.html zu entnehmen;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.447.899;49.483.235
Alice Salomon Hochschule Berlin / University of Applied Sciences. Bibliothek;Alice-Salomon-Platz 5;12627;Berlin;-30;9 92 45-381/382;http://www.ash-berlin.eu/studienangebot/bibliothek;https://opac.ash-berlin.eu/webOPACClient.ashsis/start.do;Mo.+Fr. 10:00 - 18:00 Di.-Do. 09:00 - 18:00 Sa, 10:00-13:00;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.405.538;5.251.767
Evangelische Hochschule Freiburg. Staatlich anerkannte Hochschule der Evangelischen Landeskirche in Baden Hochschulbibliothek;Bugginger Str. 38;79114;Freiburg/Breisgau;-761;4 78 12-46;http://www.eh-freiburg.de/studieren/bibliothek;https://eh-freiburg.bsz-bw.de;Semester: Mo - Fr: 9.00 - 17.00 / vorlesungsfreie Zeit: Mo - Do: 9.00 - 12.00 und 13.00 bis 16.00, Fr. 9.00 - 12.30;30.001 bis 100.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.849.877;47.994.786
Theologische Hochschule Ewersbach - Bibliothek;Jahnstraße 53 – Kronbergforum;35716;Dietzhölztal;2774;929-118;http://www.th-ewersbach.de/;;;30.001 bis 100.000;Sonstige Religionsgemeinschaften;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.315.583;50.832.704
Hochschule für Jüdische Studien. Bibliothek;Landfriedstr. 12;69117;Heidelberg;-6221;91 25 25;;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.702.067;49.408.826
Bibliothek der Dualen Hochschule Baden-Württemberg Mannheim, Baden-Wuerttemberg Cooperative State University Mannheim  ;Coblitzallee 1-9;68163;Mannheim;621;4105-1118;http://www.bib.dhbw-mannheim.de;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.466.275;4.948.778
Hochschule Kempten. Hochschulbibliothek;Bahnhofstr. 61;87435;Kempten;-831;25 23-127;http://www.hochschule-kempten.de/services/bibliothek.html;;Mo-Fr 7.45-18.00 Sa 9.30-14.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.317.823;47.724.016
Fachhochschule Kiel. Zentralbibliothek;Grenzstr. 3;24149;Kiel;-431;210-4800;http://www.bibliothek.fh-kiel.de;;Mo-Do.09-19 Fr 09-18 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;1.013.727;54.321.775
Katholische Stiftungshochschule München.   Bibliothek Campus München;Preysingstr. 89b;81667;München;-89;4 80 92-8262 ;http://www.ksh-muenchen.de/hochschule/zentrale-einrichtungen-dienste/bibliotheken/oeffnungszeiten-muenchen/;;MO-DO: 9.00-17.00 Uhr. FR: 9.00-16.00 Uhr, SA: 10.00-13.00 Uhr (verkürzte Öffnungszeiten in den Semesterferien);30.001 bis 100.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;11.573.599;48.143.439
Kath. Hochschule für Soziale Arbeit. Bibliothek;Rastpfuhl 12 a;66113;Saarbrücken;-681;9 71 32-25;http://www.khsa.de;;Mo-Do 8.00-12.00 Uhr und 13.00-16.00 Uhr. Frei 8.00-13.00 Uhr;30.001 bis 100.000;Kath. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.996.011;49.236.301
Bibliothek der Hochschule Hannover;Ricklinger Stadtweg 118;30459;Hannover;-511;92 96-1086;http://www.hs-hannover.de/bibl/;;Mo-Fr 9.00-20.00. Sa 9.00-14.00. (Mo-Fr 9.00-16.00. Do 9.00-18.00);100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.738.084;52.374.551
Ev. Fachhochschule Reutlingen-Ludwigsburg. Hochschule für Soziale Arbeit. Religionspädagogik und Diakonie. Hochschulbibliothek;Auf der Karlshöhe 2;71638;Ludwigsburg;-7141;9 65-235;http://www.efh-reutlingen-ludwigsburg.de/;;mo.-do. 9.00 - 17.00 fr. 9.00 - 14.00;bis 1.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.194.347;48.889.441
Fachhochschule für Verwaltung. Bibliothek;Beethovenstr. 26;66125;Saarbrücken;-6897;79 08 40;http://www.fhsv.saarland.de;;;5.001 bis 10.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.996.011;49.236.301
 Hochschule für Polizei Baden-Württemberg Bibliothek;Sturmbühlstr. 250;78054;Villingen-Schwenningen;-7720;309-295 oder 309-296;http://www.hfpol-bw.de/index.php/literatur;;Mo, Mi, Do: 8.00-16.30Uhr  Di 8:00-18:00 Uhr Fr 8.00-12.00Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.459.649;48.058.255
Verwaltungsfachhochschule Altenholz, Bibliothek;Rehmkamp 10;24161;Altenholz;-431;32 09-122 und 123;http://www.vfh-sh.de/;;;10.001 bis 30.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.120.656;54.402.998
Fachhochschule für Rechtspflege Nordrhein-Westfalen;Schleidtalstr. 3;53902;Bad Münstereifel;-2253;318130;http://www.fhr.nrw.de;;;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.765.111;50.556.858
Berufsakademie Sachsen  Staatliche Studienakademie Dresden  Bibliothek;Hans-Grundig-Straße 25;01099;Dresden;-351;8022977;;;Mo-Do 9.00-19.00, Fr 9.00-15.00;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;13.736.883;51.051.697
Hochschule für Finanzen Rheinland-Pfalz. Bibliothek;Luitpoldstr. 33;67480;Edenkoben;-6323;9489-0;www.hochschule-edenkoben.de/;;07.00 - 16.00 Uhr;5.001 bis 10.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.127.001;49.282.672
Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen. Bibliothek;Haidekamp 73;45886;Gelsenkirchen;-209;1659-0;http://www.fhoev.nrw.de;;;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;7.096.064;51.510.892
Studienzentrum der Finanzverwaltung und Justiz Rotenburg a. d. Fulda;Josef-Durstewitz-Str. 2-6;36199;Rotenburg/Fulda;-6623;932-130;http://studienzentrum-rotenburg.bibliotheca-open.de;http://studienzentrum-rotenburg.bibliotheca-open.de/Mediensuche/ErweiterteSuche.aspx;Montag - Donnerstag 7.30 Uhr - 17.30 Uhr, Freitag 7.30 Uhr - 12.30 Uhr;10.001 bis 30.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.724.701;50.996.422
Niedersächsische Fachhochschule für Verwaltung und Rechtspflege -Präsidium- Zentralbibliothek;Goslarsche Straße 3;31134;Hildesheim;-5121;163-110;;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.948.634;52.155.018
Hochschulbibliothek;Nibelungenplatz 1;60318;Frankfurt am Main;-69;15 33-3300;http://www.frankfurt-university.de/bibliothek;https://hds.hebis.de/fuas/index.php;Regulär: Mo- Fr 09.00-21.00 Uhr, Sa 10.00 - 15.00 UhrPrüfungszeit: Mo- Fr 09.00-22.00 Uhr, Sa 10.00 - 22.00 UhrVorlesungsfreie Zeit Sommer: Mo-Mi,Fr 11.00-16.00 Uhr, Do 11.00 - 18.00 Uhr;100.001 bis 300.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.682.433;5.011.088
Hochschulbibliothek Aalen;Anton-Huber-Str. 17;73430;Aalen;-7361;576-1919;https://www.hs-aalen.de/de/facilities/3;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/$DirectLink&sp=SOPAC15;Vorlesungszeit: Mo-Fr. 8.00-20.00 Uhr, Sa 9.00-16.00 Uhr - Vorlesungsfreie Zeit: Mo-Fr 10.00-13.00, Di zusätzlich 14.00-16.00 Uhr und Do 14.00-17.00 Uhr;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;10.092.337;48.835.057
Fachhochschule des Berufsförderungswerks. Bibliothek;Bonhoefferstr.;69123;Heidelberg;-6221;88-2459;;;;30.001 bis 100.000;Körperschaft/Stiftung des öff. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.702.067;49.408.826
Rheinische Fachhochschule Köln gGmbH Bibliothek;Lindenstr. 16 - 22;50674;Köln;-221;20 30-221;http://www.rfh-koeln.de;;;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;6.957.068;50.938.107
Hochschule für öffentliche Verwaltung und Finanzen. Bibliothek;Reuteallee 36;71634;Ludwigsburg;7141;140567;https://www.hs-ludwigsburg.de/einrichtungen/bibliothek.html;https://bsz.ibs-bw.de/hslb;Mo - Do: 8 -17, Fr: 8 - 14;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.194.347;48.889.441
Kath. Fachhochschule Mainz. Bibliothek;Saarstr. 3;55122;Mainz;-6131;2 89 44-19. 13 und 55;http://www.kfh-mainz.de/;;;30.001 bis 100.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.271.855;50.001.959
Fachhochschule Mannheim. Hochschule für Sozialwesen. Bibliothek;Ludolf-Krehl-Str. 7/11;68167;Mannheim;-621;39 26-136;http://www.fh-mannheim.de;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.466.275;4.948.778
EBS Universität für Wirtschaft und Recht, EBS Business School, Bibliothek;Rheingaustr. 1;65375;Oestrich-Winkel;-6723;69-135;http://www.ebs.edu/business-school-bibliothek.html?&L=0;http://www-opac.ebs.de/wwwopac/index.asp?lkz=2&nextpage=&time=15:10:25;;10.001 bis 30.000;Private Trägerschaft;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;800.726;49.998.444
Ev. Fachhochschule für Sozialwesen. Bibliothek;Ringelbachstr. 221;72762;Reutlingen;-7121;24 14-47;http://www.efh-reutlingen-ludwigsburg.de/;http://alephino-efh-opac.elk-wue.de/.ALEPH;;10.001 bis 30.000;Ev. Kirche;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.212.006;4.849.208
Hochschule für Forstwirtschaft Rottenburg - Bibliothek ;Schadenweilerhof;72108;Rottenburg am Neckar;7472;951-215;https://www.hs-rottenburg.net/die-hochschule/einrichtungen-der-hfr/bibliothek/?no_cache=1;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/$DirectLink&sp=SOPAC366;Mo - Do: 7.30 - 18.00, Fr. 7.30 - 17.00;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;8.936.507;48.479.475
Hochschule für Gestaltung. Hochschulbibliothek;Rektor-Klaus-Str. 98;73525;Schwäbisch Gmünd;-7171;602 637 und 602 655;http://bibliothek.hfg-gmuend.de/;;SemesteröffnungszeitenMontag - Donnerstag9.00 - 21.00 UhrFreitag10.00 - 19.00 Uhr;10.001 bis 30.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.796.508;48.802.384
Hochschule Albstadt-Sigmaringen. Bibliothek Sigmaringen;Anton-Günther-Str. 51;72488;Sigmaringen;-7571;(07571) 73 283 40;http://www.hs-albsig.de/bib/;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.214.788;48.086.623
Hochschule der Medien - Bibliothek;Nobelstr. 10;70569;Stuttgart;-711;8923-2510;https://www.hdm-stuttgart.de/bibliothek;;;30.001 bis 100.000;Land;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.177.734;48.775.817
Staatlich anerkannte Fachhochschule. PTL Wedel. Gemeinnützige Schulgesellschaft mbH. Bibliothek;Feldstr. 143;22880;Wedel/Holstein;-4103;80 48-21;http://www.fh-wedel.de/cis/bibliothek/bibliothek.html;;;5.001 bis 10.000;Körperschaft/Stiftung des priv. Rechts;Sektion 4: Wiss. Universalbibliotheken;hauptamtlich;9.705.419;53.577.353
